Repository,Abstract,URL,Published At,SATD related predict,ground_truth,reason
twbs,**- #32213: _reboot.scss: remove needless Stylelint disab,https://api.github.com/repos/twbs/bootstrap/releases/34937336,2020-12-07T16:24:37Z,1,1,code_debt (deed code)
angular,hardening attribute and property binding rules for <iframe> elements (#47964,https://api.github.com/repos/angular/angular/releases/82607411,2022-11-09T21:40:29Z,1,0,0
angular,do not error if files part of `srcs` are outside of package (#45622,https://api.github.com/repos/angular/angular/releases/64896341,2022-04-20T21:52:24Z,1,1,design_debt
facebook,Fix a performance issue when thousands of roots are re-rendered ([@gaearon](https://github.com/gaearon) in [#13335](https://github.com/facebook/react/issues/13335,https://api.github.com/repos/facebook/react/releases/12771739,2018-09-06T20:00:25Z,0,1,algorithm_debt(Slow algorithm)
numpy,Some specific loop structures which have an accelerated loop versiondid not release the GIL prior to NumPy 1.14.0.  This oversight has beenfixed.The `np.einsum` function will use BLAS when possible and optimize by defau,https://api.github.com/repos/numpy/numpy/releases/9134690,2018-01-07T00:50:41Z,1,1,defect_debt
tensorflow,  Added deprecation warning to `layers.experimental.SyncBatchNormalization` and suggested to use `layers.BatchNormalization` with `synchronized=True` instead,https://api.github.com/repos/tensorflow/tensorflow/releases/96657636,2023-03-23T15:50:02Z,1,1,compatibility_debt
angular,avoid duplicating comments in TestBed teardown migration (#43776,https://api.github.com/repos/angular/angular/releases/51307424,2021-10-13T18:29:22Z,1,1,code_debt
tensorflow,"Start enforcing input shape assumptions when calling Functional API Keras models. This may potentially break some users, in case there is a mismatch             between the shape used when creating `Input` objects in a Functional model, and the shape of the data passed to that model. You can fix this mismatch by         either calling the model with correctly-shaped data, or by relaxing `Input` shape assumptions (note that you can pass shapes with `None` entries for axes      that are meant to be dynamic). You can also disable the input checking entirely by setting `model.input_spec = None`.",https://api.github.com/repos/tensorflow/tensorflow/releases/34132731,2020-11-18T18:33:46Z,1,1,defect_debt
numpy,"   MAINT: Mark `npy_memchr` with `no_sanitize(""alignment"")` on cla",https://api.github.com/repos/numpy/numpy/releases/67433204,2022-05-20T21:49:25Z,0,0,0
angular,avoid broken references in .d.ts files due to @internal markers (#43527,https://api.github.com/repos/angular/angular/releases/52168866,2021-10-27T18:33:29Z,1,0,0
tensorflow,Fixes three vulnerabilities in conversion to DLPack format  ,https://api.github.com/repos/tensorflow/tensorflow/releases/35249119,2020-12-14T18:16:52Z,0,1,code_debt
numpy,   BLD: add workaround in setup.py for newer setuptoo,https://api.github.com/repos/numpy/numpy/releases/87244731,2022-12-26T13:56:53Z,1,0,0
angular,Ensure Router preloading works with lazy component and static children (#49571,https://api.github.com/repos/angular/angular/releases/97368285,2023-03-29T19:38:04Z,0,0,0
facebook," We added support for [defining stateless components as functions](/react/blog/2015/09/10/react-v0.14-rc1.html#stateless-function-components) in React 0.14. However, React 0.14 still allowed you to define a class component without extending `React.Component` or using `React.createClass()`, so [we couldn’t reliably tell if your component is a function or a class](https://github.com/facebook/react/issues/5355), and did not allow returning `null` from it. This issue is solved in React 15, and you can now return `null` from any component, whether it is a class or a function. ([@jimfb](https://github.com/jimfb) in [#5884](https://github.com/facebook/react/pull/5884))",https://api.github.com/repos/facebook/react/releases/2982082,2016-04-08T16:05:25Z,1,1,design debt
angular,disable animations when running e2e testing to fix flaky test,https://api.github.com/repos/angular/angular/releases/58545207,2022-02-02T19:42:46Z,1,1,test debt
facebook,Clear fields on unmount to avoid memory leaks. ([@trueadm](http://github.com/trueadm) in [#14276](https://github.com/facebook/react/pull/14276,https://api.github.com/repos/facebook/react/releases/14628791,2018-12-20T01:39:58Z,1,1,code_debt (low_code_quality)
angular,remove unnecessary file extractions from `ng_package` (#45470,https://api.github.com/repos/angular/angular/releases/64289067,2022-04-12T20:06:41Z,1,1,code_debt(Dead code)
angular,deduplicate imports of standalone components in JIT compiler (#46439,https://api.github.com/repos/angular/angular/releases/70216062,2022-06-22T23:50:42Z,1,1,code_debt(Duplicated code)
twbs,"**- #31892: Remove redundant visually hidden ""(current)"" from pagination contro",https://api.github.com/repos/twbs/bootstrap/releases/33814902,2020-11-11T17:13:10Z,1,1,code_debt
angular,use WeakMap to reduce memory usage when memoizin,https://api.github.com/repos/angular/angular/releases/58545207,2022-02-02T19:42:46Z,1,0,0
facebook,Add back support for running in production mode. ([@gaearon](https://github.com/gaearon) in [#11112](https://github.com/facebook/react/pull/11112,https://api.github.com/repos/facebook/react/releases/8452049,2017-11-09T15:17:08Z,0,0,0
angular,better error message when directive extends a component (#45658,https://api.github.com/repos/angular/angular/releases/64896341,2022-04-20T21:52:24Z,1,0,0
tensorflow,"Renamed `tf.image` functions to remove duplicate ""image"" where it is redundant.",https://api.github.com/repos/tensorflow/tensorflow/releases/17852985,2019-06-07T15:03:27Z,1,1,deed code
numpy,   MAINT: be more tolerant of setuptools >= ,https://api.github.com/repos/numpy/numpy/releases/58652401,2022-02-04T01:26:51Z,0,0,0
tensorflow,"Optimize `tf.function` invocation, by removing redundant list converter.  ",https://api.github.com/repos/tensorflow/tensorflow/releases/28382437,2020-07-09T02:34:25Z,0,0,0
facebook,Fix reading context provided from the tree managed by React DOM. ([@acdlite](https://github.com/acdlite) in [#12779](https://github.com/facebook/react/pull/12779))### React Call Return (Experimenta,https://api.github.com/repos/facebook/react/releases/11147851,2018-05-24T01:19:16Z,1,0,0
pytorch,Fixed launch bounds for gathertopk kernel ([#60314](https://github.com/pytorch/pytorch/pull/60314,https://api.github.com/repos/pytorch/pytorch/releases/51800581,2021-10-21T15:49:53Z,0,0,0
facebook,Fixed an issue when using `ReactDOM` together with `ReactDOMServer`. ([@wacii](https://github.com/wacii) in [#9005](https://github.com/facebook/react/pull/9005,https://api.github.com/repos/facebook/react/releases/6018062,2017-04-07T21:43:16Z,0,0,0
angular,correct type of nextState parameter in canDeactivate (#48038,https://api.github.com/repos/angular/angular/releases/83941790,2022-11-23T03:04:25Z,0,0,0
pytorch,Fixed the Metal `torch.clamp` shader function for x86_64 ([#63062](https://github.com/pytorch/pytorch/pull/63062,https://api.github.com/repos/pytorch/pytorch/releases/51800581,2021-10-21T15:49:53Z,0,0,0
numpy,   BUG: Remove temporary change of descr/flags in VOID functio,https://api.github.com/repos/numpy/numpy/releases/40588036,2021-03-27T23:33:19Z,1,1,defect debts
tensorflow," is a utility based on `tf.data.Dataset`, meant to replace the legacy `ImageDataGenerator`. It takes you from a structured directory of images to a labeled dataset, in one function call. Note that it doesn't perform image data augmentation (which is meant to be done using preprocessing layers).  ",https://api.github.com/repos/tensorflow/tensorflow/releases/28382437,2020-07-09T02:34:25Z,1,0,0
tensorflow,Add toggles `tf.enable_control_flow_v2()` and `tf.disable_control_flow_v2()` for enabling/disabling v2 control flo,https://api.github.com/repos/tensorflow/tensorflow/releases/20178937,2019-09-23T13:22:21Z,0,0,0
